X,Y,id,hhid3,area,perimeter,Net_main,net_pbo,dname2019,ADM4_EN
31.3481080147871,1.62170655073971,745,3005,0.000052,0.031057,2,2,HOIMA,Kigorobya
31.3416553650595,1.58205569064637,746,3004,0.000166,0.054009,2,2,HOIMA,Kigorobya
31.2547888448234,1.67586926275177,747,3003,0.000002,0.009668,2,2,HOIMA,Kigorobya
31.2071173981751,1.5944744873797,748,3002,0.000047,0.032906,2,2,HOIMA,Kigorobya
31.4606777391483,1.72400361038116,1002,408,0.000068,0.039652,4,2,BULIISA,Kihungya
31.207091454765,1.2978833971064,733,3107,0.000164,0.050768,1,1,KIKUUBE,Kikuube Town Council
31.2310161779152,1.31634639287713,734,3106,0.000042,0.026336,1,1,KIKUUBE,Kikuube Town Council
31.3465092447351,1.50710101688364,743,3007,0.000015,0.015365,2,2,HOIMA,Kitoba
31.2872466838531,1.50802862754739,744,3006,0.000025,0.022130,2,2,HOIMA,Kitoba
31.4236091291336,1.54450933889708,740,3010,0.000087,0.042876,2,2,HOIMA,Kyabigambire
31.5156835698965,1.47754407435097,741,3009,0.000053,0.033880,2,2,HOIMA,Kyabigambire
31.4873775544458,1.48711656495124,742,3008,0.000080,0.036065,2,2,HOIMA,Kyabigambire
30.8154987227506,1.25401730051763,730,3110,0.000180,0.071382,1,1,KIKUUBE,Kyangwali
30.8257408206477,1.28510816125378,731,3109,0.000162,0.055289,1,1,KIKUUBE,Kyangwali
30.9260095335479,1.23030867298139,732,3108,0.000040,0.036545,1,1,KIKUUBE,Kyangwali
31.4106616579732,1.40534066538783,720,3210,0.000009,0.015373,1,1,HOIMA,Mparo Divison
31.3958158144377,1.46285019678838,722,3208,0.000016,0.017424,1,1,HOIMA,Mparo Divison
31.7140766458243,1.76635100769794,810,2310,0.000034,0.026103,1,1,MASINDI,Pakanyi
31.8692183913117,1.79143331029624,811,2309,0.000057,0.031316,1,1,MASINDI,Pakanyi
31.7805919519349,1.88701808980606,812,2308,0.000085,0.041365,1,1,MASINDI,Pakanyi
31.7616509902472,1.79402412780423,813,2307,0.000123,0.049696,1,1,MASINDI,Pakanyi
31.84664497864,1.84916252045679,814,2306,0.000079,0.040267,1,1,MASINDI,Pakanyi
31.7026652583207,1.82838102303069,815,2305,0.000122,0.048018,1,1,MASINDI,Pakanyi
31.7110130137806,1.83266368820783,816,2304,0.000062,0.039514,1,1,MASINDI,Pakanyi
31.1526798848088,0.940840874505681,539,5101,0.000039,0.029912,2,2,KAKUMIRO,Birembo
31.0719115047015,0.744395449618859,498,5502,0.000104,0.052839,1,1,KIBAALE,Bwamiramira
31.301960879882,0.79715243384764,538,5102,0.000051,0.031053,2,2,KAKUMIRO,Bwanswa
31.1756083013795,1.15702618226314,536,5104,0.000111,0.043797,2,2,KAKUMIRO,Kakindo
31.1390047790962,1.1014858998588,537,5103,0.000059,0.033221,2,2,KAKUMIRO,Kakindo
31.3254452589896,0.782225731582297,535,5105,0.000006,0.010792,2,2,KAKUMIRO,Kakumiro  Town Council
31.2633050760156,0.849085141067994,533,5107,0.000201,0.056828,2,2,KAKUMIRO,Kasambya
31.2659973683668,0.976664563635148,534,5106,0.000065,0.042922,2,2,KAKUMIRO,Kasambya
31.0960430239643,0.974462270463959,490,5510,0.000027,0.022231,1,1,KIBAALE,Kasimbi
31.0904993232672,0.912112863244699,497,5503,0.000127,0.049763,1,1,KIBAALE,Kasimbi
31.3230469890396,1.11619525193142,527,5203,0.000056,0.036435,1,1,KAKUMIRO,Katikara
31.2529222023718,1.17189408246189,528,5202,0.000046,0.026745,2,2,KAKUMIRO,Katikara
31.20977855448,0.980701296605807,530,5110,0.000051,0.030642,2,2,KAKUMIRO,Kijangi
31.1745959792958,1.00749568188665,531,5109,0.000043,0.030549,2,2,KAKUMIRO,Kikwaya
31.1131494166064,1.02245884184586,505,5405,0.000040,0.027684,,,KAGADI,Kiryanga
31.0577753788469,1.04517078644809,506,5404,0.000010,0.019988,,,KAGADI,Kiryanga
